source,target,person_name,linkedin
Battery,Machinify,Jon Joe,jon-joe
Battery,StockX,Jon Joe,jon-joe
Battery,Voltron Data,Jon Joe,jon-joe
Battery,Cohesity,Jon Joe,jon-joe
Battery,Abridge,Jon Joe,jon-joe
Battery,Upvest,Jon Joe,jon-joe
Battery,Ualá,Jon Joe,jon-joe
Battery,Fieldguide,Jon Joe,jon-joe
Battery,Watershed,Jon Joe,jon-joe
Battery,Zapier,Jon Joe,jon-joe
Battery,Dashlane,Jon Joe,jon-joe
Battery,Shippo,Jon Joe,jon-joe
Battery,UserGems,Jon Joe,jon-joe
Battery,MX,Jon Joe,jon-joe
Bessemer,Discord,Jon Joe,jon-joe
Bessemer,Axonius,Jon Joe,jon-joe
Bessemer,CaptivateIQ,Jon Joe,jon-joe
Bessemer,ServiceTitan,Jon Joe,jon-joe
Bessemer,SiSense,Jon Joe,jon-joe
Bessemer,Vidyard,Jon Joe,jon-joe
Bessemer,Upvest,Jon Joe,jon-joe
Bessemer,Turneo,Jon Joe,jon-joe
Bessemer,Clearing,Jon Joe,jon-joe
Bessemer,Apron,Jon Joe,jon-joe
Bessemer,"US Health Partners, LLC",Jon Joe,jon-joe
Bessemer,TurbineOne,Jon Joe,jon-joe
Bessemer,DEFCON AI,Jon Joe,jon-joe
Bessemer,Windfall Bio,Jon Joe,jon-joe
Bessemer,SmarterDx,Jon Joe,jon-joe
Bessemer,Turquoise Health,Jon Joe,jon-joe
Bessemer,Gankster,Jon Joe,jon-joe
Bessemer,DeepL,Jon Joe,jon-joe
Bessemer,Perplexity,Jon Joe,jon-joe
Bessemer,MaintainX,Jon Joe,jon-joe
Bessemer,GoodShip,Jon Joe,jon-joe
Bessemer,Rohirrim,Jon Joe,jon-joe
Bessemer,Nilus,Jon Joe,jon-joe
Bessemer,Mural Health,Jon Joe,jon-joe
Bessemer,Archy,Jon Joe,jon-joe
Bessemer,House Rx,Jon Joe,jon-joe
Bessemer,NeueHealth,Jon Joe,jon-joe
Bessemer,Vertice,Jon Joe,jon-joe
Bessemer,Torq,Jon Joe,jon-joe
Bessemer,Wrapbook,Jon Joe,jon-joe
Bessemer,Sixfold AI,Jon Joe,jon-joe
Bessemer,Legit Security,Jon Joe,jon-joe
Bessemer,ANYbotics,Jon Joe,jon-joe
Bessemer,Zenskar,Jon Joe,jon-joe
Bessemer,Raft,Jon Joe,jon-joe
Bessemer,CopilotIQ,Jon Joe,jon-joe
Bessemer,Kandou,Jon Joe,jon-joe
Bessemer,Plenful,Jon Joe,jon-joe
Bessemer,Jingle,Jon Joe,jon-joe
Bessemer,Eye Security,Jon Joe,jon-joe
Bessemer,Ola,Jon Joe,jon-joe
Bessemer,Jasper,Jon Joe,jon-joe
Bessemer,Render,Jon Joe,jon-joe
Bessemer,Cents,Jon Joe,jon-joe
Bessemer,Clarity,Jon Joe,jon-joe
Bessemer,Bigbasket,Jon Joe,jon-joe
Bessemer,Perfios,Jon Joe,jon-joe
Bessemer,Carefull Corporation,Jon Joe,jon-joe
Bessemer,Appwrite,Jon Joe,jon-joe
Bessemer,OnXMaps,Jon Joe,jon-joe
Bessemer,Axion Ray,Jon Joe,jon-joe
Bessemer,Hinge Health,Jon Joe,jon-joe
Bessemer,Peptone,Jon Joe,jon-joe
Bessemer,TensorZero,Jon Joe,jon-joe
Bessemer,Basis Theory,Jon Joe,jon-joe
Bessemer,Sweep,Jon Joe,jon-joe
Bessemer,Sentra,Jon Joe,jon-joe
Bessemer,Hibob,Jon Joe,jon-joe
Bessemer,Claroty,Jon Joe,jon-joe
Bessemer,Cashify,Jon Joe,jon-joe
Bessemer,Boards,Jon Joe,jon-joe
Bessemer,Rupa Health,Jon Joe,jon-joe
Bessemer,Oshi Health,Jon Joe,jon-joe
Bessemer,Onaroll,Jon Joe,jon-joe
Bessemer,GlossGenius,Jon Joe,jon-joe
Bessemer,Cloudinary,Jon Joe,jon-joe
Bessemer,Nym,Jon Joe,jon-joe
Bessemer,Optimal Dynamics,Jon Joe,jon-joe
Bessemer,Ansible Health,Jon Joe,jon-joe
Bessemer,Optibus,Jon Joe,jon-joe
Bessemer,Makersplace,Jon Joe,jon-joe
Bessemer,Syndio,Jon Joe,jon-joe
Bessemer,Sorare,Jon Joe,jon-joe
Bessemer,Shift Technology,Jon Joe,jon-joe
Bessemer,Recurrency,Jon Joe,jon-joe
Bessemer,Melio Payments,Jon Joe,jon-joe
Bessemer,Xanadu,Jon Joe,jon-joe
Bessemer,Forter,Jon Joe,jon-joe
Bessemer,Clio,Jon Joe,jon-joe
Bessemer,Anunta,Jon Joe,jon-joe
Bessemer,Lithic,Jon Joe,jon-joe
Bessemer,Nido Biosciences,Jon Joe,jon-joe
Bessemer,Visor,Jon Joe,jon-joe
Bessemer,Crosschq,Jon Joe,jon-joe
Bessemer,BigID,Jon Joe,jon-joe
Bessemer,Prefect,Jon Joe,jon-joe
Bessemer,ScyllaDB,Jon Joe,jon-joe
Bessemer,Salto,Jon Joe,jon-joe
Bessemer,Wukong Education,Jon Joe,jon-joe
Bessemer,NALA,Jon Joe,jon-joe
Bessemer,Bastille Networks,Jon Joe,jon-joe
Bessemer,Luxury Presence,Jon Joe,jon-joe
Bessemer,Shopmonkey,Jon Joe,jon-joe
Bessemer,Unito,Jon Joe,jon-joe
Bessemer,Restaurant365,Jon Joe,jon-joe
Bessemer,Voxel51,Jon Joe,jon-joe
Bessemer,GetAccept,Jon Joe,jon-joe
Bessemer,Upside,Jon Joe,jon-joe
Bessemer,Papaya Global,Jon Joe,jon-joe
Bessemer,Zopper,Jon Joe,jon-joe
Bessemer,Gamefam,Jon Joe,jon-joe
Bessemer,Newfront Insurance,Jon Joe,jon-joe
Bessemer,Thunes,Jon Joe,jon-joe
Bessemer,LaunchDarkly,Jon Joe,jon-joe
Bessemer,Manychat,Jon Joe,jon-joe
